REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AGE
A6-EDW,Airbus A380-861,F14C76Y427,29 Aug 2012,lsd,14.1 Years
A6-EDX,Airbus A380-861,F14C76Y427,1 Oct 2012,,14 Years
A6-EDY,Airbus A380-861,F14C76Y399,1 Oct 2012,,13.9 Years
A6-EDZ,Airbus A380-861,F14C76Y399,12 Oct 2012,,13.8 Years
A6-EEA,Airbus A380-861,F14C76Y427,19 Dec 2012,,13.6 Years
A6-EEB,Airbus A380-861,F14C76Y427,9 Nov 2012,,13.8 Years
A6-EEC,Airbus A380-861,F14C76Y427,30 Nov 2012,,13.9 Years
A6-EED,Airbus A380-861,F14C76Y427,28 Dec 2012,,13.6 Years
A6-EEE,Airbus A380-861,F14C76Y427,27 Dec 2012,,13.6 Years
A6-EEF,Airbus A380-861,F14C76Y399,6 May 2013,,13.3 Years
A6-EEG,Airbus A380-861,F14C76Y399,8 May 2013,,13.2 Years
A6-EEH,Airbus A380-861,F14C76Y399,4 Jun 2013,,13.2 Years
A6-EEI,Airbus A380-861,F14C76Y427,17 Jun 2013,lsd,13.1 Years
A6-EEJ,Airbus A380-861,F14C76Y427,19 Sep 2013,,12.9 Years
A6-EEK,Airbus A380-861,F14C76Y399,29 Aug 2013,lsd,13 Years
A6-EEL,Airbus A380-861,F14C76Y399,27 Nov 2013,lsd,12.9 Years
A6-EEM,Airbus A380-861,F14C76Y399,14 Nov 2013,"Parked / Maintenance, lsd",12.8 Years
A6-EEN,Airbus A380-861,F14C76Y427,27 Nov 2013,"Parked / Maintenance, lsd",12.8 Years
A6-EEO,Airbus A380-861,F14C76Y399,29 Oct 2013,"Parked / Maintenance, lsd",12.7 Years
A6-EEP,Airbus A380-861,F14C76Y399,12 Dec 2013,"Parked / Maintenance, lsd, The Emirates Airline Foundation cs",12.7 Years
A6-EEQ,Airbus A380-861,F14C76Y399,14 Feb 2014,,12.4 Years
A6-EER,Airbus A380-861,F14C76Y427,19 Dec 2013,Parked / Maintenance, lsd,12.7 Years
A6-EES,Airbus A380-861,F14C76Y427,19 Dec 2013,"Parked / Maintenance, lsd, Destination Dubai cs",12.6 Years
A6-EET,Airbus A380-861,F14C76Y399,27 Mar 2014,"lsd, Emirates Courier Express cs",12.3 Years
A6-EEU,Airbus A380-861,F14C76W56Y322,27 Mar 2014,Destination Dubai cs,12.3 Years
A6-EEV,Airbus A380-861,F14C76Y401,19 May 2014,,12.2 Years
A6-EEW,Airbus A380-861,F14C76W56Y341,27 Jun 2014,Destination Dubai W cs,12.1 Years
A6-EEX,Airbus A380-861,F14C76W56Y341,9 Jul 2014,,12 Years
A6-EEY,Airbus A380-861,F14C76Y429,4 Sep 2014,lsd,12 Years
A6-EEZ,Airbus A380-861,F14C76Y429,22 Aug 2014,,11.9 Years
A6-EOA,Airbus A380-861,F14C76Y429,26 Sep 2014,lsd,11.9 Years
A6-EOB,Airbus A380-861,F14C76Y429,3 Nov 2014,lsd,11.7 Years
A6-EOC,Airbus A380-861,F14C76W56Y322,26 Nov 2014,,11.7 Years
A6-EOD,Airbus A380-861,F14C76W56Y322,10 Dec 2014,Official Airline Partner of the NBA W cs,11.6 Years
A6-EOE,Airbus A380-861,F14C76W56Y322,22 Dec 2014,"lsd, Wimbledon Official Partner W cs",11.6 Years
A6-EOF,Airbus A380-861,F14C76W56Y322,30 Jan 2015,lsd,11.5 Years
A6-EOG,Airbus A380-861,F14C76W56Y322,2 Mar 2015,,11.4 Years
