REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AIRCRAFT NAME,AGE
F-GZND,Boeing 777-328ER,F4C60W44Y204,9 Apr 2009,,La Rochelle W,16.9 Years
F-GZNE,Boeing 777-328ER,F4C60W44Y204,10 Jun 2009,lsd,Salon-de-Provence W,16.7 Years
F-GZNF,Boeing 777-328ER,C14W28Y430,23 Jun 2009,lsd,Dunkerque W,16.7 Years
F-GZNG,Boeing 777-328ER,C14W28Y430,26 Jun 2009,lsd,Belfort W,16.7 Years
F-GZNH,Boeing 777-328ER,,7 Dec 2010,"Seating reconfiguration at AUH, lsd",Mulhouse W,15.3 Years
F-GZNI,Boeing 777-328ER,C48W48Y273,1 Apr 2011,lsd,Blois W,15 Years
F-GZNJ,Boeing 777-328ER,C48W48Y273,15 Apr 2011,,Chablis W,14.9 Years
F-GZNK,Boeing 777-328ER,F4C60W44Y204,3 May 2011,,Fontainebleau W,14.9 Years
F-GZNL,Boeing 777-328ER,C14W28Y430,2 Apr 2012,lsd,,14 Years
F-GZNN,Boeing 777-328ER,C14W28Y430,15 May 2012,,Sète W,13.8 Years
F-GZNO,Boeing 777-328ER,C14W28Y430,11 Apr 2012,lsd,,13.9 Years
F-GZNP,Boeing 777-328ER,F4C60W44Y204,23 Apr 2015,,,11 Years
F-GZNQ,Boeing 777-328ER,F4C60W44Y204,6 May 2015,,Épernay W,10.9 Years
F-GZNR,Boeing 777-328ER,,30 Oct 2015,"Seating reconfiguration at ORY, lsd",,10.4 Years
F-GZNS,Boeing 777-328ER,C48W48Y273,9 Mar 2016,,,10 Years
F-GZNT,Boeing 777-328ER,C48W48Y273,29 Mar 2016,,Roubaix W,9.9 Years
F-GZNU,Boeing 777-328ER,C48W48Y273,25 Apr 2016,,,9.9 Years
F-GUOB,Boeing 777-F28,Cargo,24 Feb 2009,lsd, opf Air France Cargo,,17.6 Years
F-GUOC,Boeing 777-F28,Cargo,20 Feb 2009,lsd, opf Air France Cargo,,17.1 Years
F-HRBA,Boeing 787-9 Dreamliner,C30W21Y225,29 Nov 2016,lsd,,9.3 Years
F-HRBB,Boeing 787-9 Dreamliner,C30W21Y225,18 Apr 2017,,,9 Years
F-HRBC,Boeing 787-9 Dreamliner,C30W21Y225,26 Sep 2017,lsd,,8.5 Years
F-HRBD,Boeing 787-9 Dreamliner,C30W21Y225,13 Nov 2017,,,8.3 Years
F-HRBE,Boeing 787-9 Dreamliner,C30W21Y225,21 Nov 2017,lsd,,8.3 Years
F-HRBF,Boeing 787-9 Dreamliner,C30W21Y225,5 Apr 2018,,,7.9 Years
F-HRBG,Boeing 787-9 Dreamliner,C30W21Y225,30 Nov 2018,,,7.3 Years
F-HRBH,Boeing 787-9 Dreamliner,C30W21Y225,24 Apr 2019,Parked / Maintenance,,6.9 Years
F-HRBI,Boeing 787-9 Dreamliner,C30W21Y225,17 May 2019,,,6.8 Years
F-HRBJ,Boeing 787-9 Dreamliner,C30W21Y225,23 Jul 2020,,Saint Emilion W,5.7 Years
