REG,AIRCRAFT TYPE,CONFIG,DELIVERED,EXIT DATE,STATUS / FATE,REMARK,AIRCRAFT NAME
VT-EPI,Airbus A320-231,CY168,24 Aug 2007,12 Jul 2015,Scrapped,,
VT-EPJ,Airbus A320-231,CY168,24 Aug 2007,21 Oct 2017,Stored,,
VT-EPK,Airbus A320-231,C20Y126,24 Aug 2007,2009,Stored,World Aids Day cs,
VT-EPL,Airbus A320-231,C20Y126,24 Aug 2007,2010,Preserved,,
VT-EPM,Airbus A320-231,C20Y126,24 Aug 2007,Jul 2011,Scrapped,,
VT-EPO,Airbus A320-231,C20Y126,24 Aug 2007,2010,Preserved,,
VT-EPP,Airbus A320-231,C20Y126,24 Aug 2007,2009,Scrapped,,
VT-EPQ,Airbus A320-231,C20Y126,24 Aug 2007,2010,Scrapped,,
VT-EPR,Airbus A320-231,C20Y126,24 Aug 2007,2006,Scrapped,,
VT-EPS,Airbus A320-231,C20Y126,24 Aug 2007,Oct 2011,Scrapped,,
VT-ESA,Airbus A320-231,C20Y126,24 Aug 2007,Feb 2011,Scrapped,,
VT-ESB,Airbus A320-231,CY168,24 Aug 2007,Feb 2017,Preserved,,
VT-ESC,Airbus A320-231,CY168,24 Aug 2007,Feb 2017,Preserved,,
VT-ESD,Airbus A320-231,CY168,24 Aug 2007,19 May 2017,Preserved,,
VT-ESE,Airbus A320-231,CY168,24 Aug 2007,4 Jun 2018,Preserved,,
VT-ESF,Airbus A320-231,CY168,24 Aug 2007,9 Oct 2017,Stored,Star Alliance W cs,
VT-ESG,Airbus A320-231,CY168,24 Aug 2007,2011,Preserved,,
